OID,NDVI_center,Building_Coverage,Weighted_Height,SPEED_M_s_,ALT_M_,NR_TAC,NR_PCI,Base_Central_frequency_point,Base_Electronic_downtilt,Base_Mechanical_downtilt,Base_Power,Match_Dist,DEM_center,True_3D_Dist,Building_Coverage,Match_Angle_sin,Match_Angle_cos,Base_Direction_angle_sin,Base_Direction_angle_cos,NR_BAND_enc,Base_Bandwidth_enc,log_Match_Dist,log_True_3D_Dist,Power_to_Dist_ratio,Match_Dist_bin,SS_RSRP
75,0.597405016,0,0,31.175,385,10121472,364,630000,6,6,24,4413.693125,285,4414.52375,6.94E-18,-0.880483262,-0.474077235,0.173648178,-0.984807753,1,0,8.392693603,8.392881736,0.005437623,9,-93.125
76,0.691066027,0,0,25.655,371.25,10121472,364,630000,6,6,24,3791.310908,276,3791.91125,1.36E-17,-0.538257809,-0.842780239,0.173648178,-0.984807753,1,0,8.240730851,8.240889143,0.006330264,9,-91.5
77,0.67376399,0,0,24.53375,373.125,10121472,364,630000,6,6,24,4410.132163,264,4410.71875,1.69E-17,-0.879196607,-0.476459156,0.173648178,-0.984807753,1,0,8.391886662,8.392019632,0.005442014,9,-92.625
78,0.702677011,0,0,30.39,360.1428571,10121472,118,636664,0,6,16,3416.529538,259,3416.967143,-1.94E-18,-0.275211074,-0.961383828,-0.766044443,-0.64278761,1,0,8.136673212,8.136801251,0.004683115,9,-90.85714286
79,0.680060029,0,0,31.472,382.8,10121472,364,630000,6,6,24,5298.914566,264,5299.602,-4.09E-18,-0.978680235,0.20538987,0.173648178,-0.984807753,1,0,8.57544598,8.575575678,0.004529229,9,-94.2
80,0.622493982,0,0,31.22,358.2,10121472,118,636664,0,6,16,3246.699758,272,3247.114,-3.77E-18,-0.160888686,-0.986972558,-0.766044443,-0.64278761,1,0,8.085702258,8.085829799,0.004928081,9,-90.6
81,0.60226202,0,0,30.17857143,367.8571429,10121472,364,630000,6,6,24,4128.589976,278,4129.11,-8.21E-18,-0.752381115,-0.658728061,0.173648178,-0.984807753,1,0,8.325933402,8.32605932,0.005813123,9,-93.42857143
82,0.578842998,0,0,26.17875,355.875,10121472,118,636664,0,6,16,3096.868578,285,3097.2575,-1.60E-17,-0.061808573,-0.998088022,-0.766044443,-0.64278761,1,0,8.038469599,8.038595136,0.005166509,9,-91.5
83,0.594430983,0,0,24.73833333,353.3333333,10121472,118,636664,0,6,16,2864.514888,290,2864.88,-3.77E-18,0.103624455,-0.994616495,-0.766044443,-0.64278761,1,0,7.96050333,7.960630737,0.005585588,9,-91
84,0.599429011,0,0,32.0575,393.75,10121472,364,630000,6,6,24,6390.951131,293,6391.7475,7.33E-18,-0.54502587,0.838419228,0.173648178,-0.984807753,1,0,8.762794842,8.762919424,0.00375531,9,-97
85,0.649806976,0,0,30.174,349,10119424,438,426000,0,4,15,2742.202658,290,2743.95,1.35E-17,-0.989194451,0.146609472,0.64278761,0.766044443,0,1,7.91688137,7.917518139,0.005470055,9,-84.6
86,0.695487976,0,0,28.6875,356,10119424,438,426000,0,4,15,3374.722329,280,3376.205,1.02E-17,-0.955713177,0.294299715,0.64278761,0.766044443,0,1,8.124364604,8.124803723,0.00444481,9,-86
87,0.689631999,0,0,29.84333333,368,10121472,364,630000,6,6,24,4412.346719,271,4413.523333,0.000168253,-0.859264378,0.511531747,0.173648178,-0.984807753,1,0,8.392388574,8.392655142,0.005439282,9,-89
88,0.670979977,0,0,30.575,343.5,10119424,438,426000,0,4,15,2407.952833,265,2409.456667,0.000168253,-0.994168762,0.107835399,0.64278761,0.766044443,0,1,7.786947423,7.787571497,0.006229358,9,-84
89,0.589911997,0.004206328,9.316703676,29.16666667,366.5,10121472,364,630000,6,6,24,4455.641753,260,4456.698333,0.000168253,-0.850877735,0.52536376,0.173648178,-0.984807753,1,0,8.402150791,8.402387843,0.005386429,9,-90.66666667
90,0.583415985,0,0,29.188,343.4,10119424,438,426000,0,4,15,2859.159904,255,2860.374,0.000168253,-0.975043682,0.222013105,0.64278761,0.766044443,0,1,7.958632813,7.959057208,0.005246296,9,-86.6
91,0.634754002,0,0,23.81222222,358.7777778,10121472,364,630000,6,6,24,4496.392557,249,4497.267778,0.000168253,-0.847772043,0.530360786,0.173648178,-0.984807753,1,0,8.411253076,8.411447663,0.005337612,9,-89.88888889
92,0.689677,0,0,22,353.8888889,10121472,364,630000,6,6,24,4518.531392,244,4519.308889,1.28E-17,-0.846290892,0.532721058,0.173648178,-0.984807753,1,0,8.416163593,8.416335609,0.00531146,9,-89.66666667
93,0.708950996,0,0,30.215,329.5,10119424,438,426000,0,4,15,2532.415561,239,2533.37,1.28E-17,-0.98569364,0.168546873,0.64278761,0.766044443,0,1,7.837323695,7.837700364,0.005923198,9,-82.33333333
94,0.696476996,0,0,35.876,338,10121472,364,630000,6,6,24,4424.970241,237,4425.378,9.51E-18,-0.992626335,0.121214517,0.173648178,-0.984807753,1,0,8.395244797,8.395336921,0.005423765,9,-93.4
95,0.664142013,0,0,36.12142857,335.8571429,10121472,364,630000,0,6,24,3990.855052,236,3991.154286,6.90E-18,-0.299957114,-0.953952687,0.173648178,-0.984807753,1,0,8.292011327,8.292086285,0.006013749,9,-95.42857143
96,0.627362013,0,0,34.94333333,332.3333333,10121472,531,630000,0,6,24,3556.350056,236,3556.646667,7.98E-19,0.065718065,-0.997838231,0.5,0.866025404,1,0,8.17677118,8.176854557,0.006748492,9,-94
97,0.670243025,0,0,20.923,336.5,10121472,117,630000,0,6,24,2408.265271,237,2408.978,1.02E-17,0.874003334,-0.485919924,-0.766044443,-0.64278761,1,0,7.787077113,7.787372898,0.00996568,9,-94.2
98,0.727768004,0,0,28.12833333,331.5,10119424,438,426000,0,4,15,1414.228269,239,1415.251667,4.89E-18,0.434346656,-0.900745792,0.64278761,0.766044443,0,1,7.255046118,7.255768989,0.010606491,9,-91.5
99,0.721203983,0,0,20.13363636,332.4545455,10121472,438,630000,0,6,24,1483.88186,242,1484.878182,8.22E-18,0.578466525,-0.815706123,-0.766044443,-0.64278761,1,0,7.303090493,7.303761245,0.016173794,9,-94.45454545
100,0.687825978,0,0,18.45,332.2,10121472,291,630000,0,6,24,1994.916945,246,1995.477,8.22E-18,0.999461027,-0.032827666,-0.766044443,-0.64278761,1,0,7.598858845,7.599139406,0.012030576,9,-93.2
101,0.518661022,0.086252806,17.39863768,45.065,236.5,10116864,386,636664,0,8,24,281.3327957,246,288.9975,0.009283127,-0.76702454,-0.641617764,0.342020143,0.939692621,1,0,5.643086502,5.669872302,0.08530822,3,-72.5
102,0.490114003,0,0,42.98666667,225,10116864,386,636664,0,8,24,308.7101397,255,318.1733333,0.009283127,-0.795268447,-0.606257451,0.342020143,0.939692621,1,0,5.735636827,5.76573432,0.07774283,3,-75.33333333
103,0.572794974,0,0,42.84,229.3333333,10116864,384,636664,6,13,24,320.4312285,262,328.61,0.009283127,-0.83257168,-0.55391732,0.766044443,-0.64278761,1,0,5.772783613,5.797910137,0.074899067,3,-70
104,0.587089002,0,0,37.305,238.75,10116864,386,636664,0,8,24,354.6550938,265,360.26,0.00259036,-0.865611792,-0.500715713,0.342020143,0.939692621,1,0,5.873961424,5.889597921,0.067671381,4,-75.25
105,0.679612994,0,0,37.955,243.25,10116864,386,636664,0,8,24,372.8113558,264,377.4175,0.001230274,-0.880710334,-0.473655262,0.342020143,0.939692621,1,0,5.923751274,5.935998083,0.064375721,4,-75.25
106,0.711390018,0,0,36.632,245,10121472,76,636664,6,2,24,919.5609139,262,922.376,1.08E-17,0.805348687,-0.592801393,-0.64278761,-0.766044443,1,0,6.824983173,6.828036519,0.026099413,8,-78.4
107,0.705843985,0,0,28.91833333,238.6666667,10116864,384,636664,6,13,24,428.090598,259,432.78,-2.56E-19,-0.905963005,-0.423356862,0.766044443,-0.64278761,1,0,6.061668081,6.072537493,0.056062899,5,-76.66666667
108,0.708033025,0,0,47.25666667,245.3333333,10116864,384,636664,6,13,24,456.5606449,255,460.0833333,1.97E-17,-0.918866828,-0.394567805,0.766044443,-0.64278761,1,0,6.125909433,6.133578793,0.052566949,5,-76.66666667
109,0.710232973,0,0,34.855,254.5,10121472,319,636664,0,5,24,1245.311549,256,1246.03,-8.03E-18,0.912111931,0.409941246,0.64278761,-0.766044443,1,0,7.127943707,7.128520003,0.019272286,9,-80
110,0.71161902,0,0,38.77,252,10121472,76,636664,6,2,24,853.8727018,262,855.99,-2.19E-17,0.539580745,-0.841933857,-0.64278761,-0.766044443,1,0,6.750952571,6.75342625,0.028107234,7,-81
111,0.672958016,0,0,51.61,258.5,10121472,319,636664,0,5,24,1023.929747,266,1024.865,-2.19E-17,0.792217484,-0.610238853,0.64278761,-0.766044443,1,0,6.93237935,6.933291438,0.023439108,8,-80
